
Host: msituf

Timers On : Mon Sep 13 15:13:13 2021
Timers Off: Mon Sep 13 15:32:18 2021

Wall Time:     1145.29 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: initialize()                   :    136.450u      5.350s     21.258w     42 calls
| DFH: AO Construction              :     36.717u      1.283s      5.722w     42 calls
| DFH: AO-Met. Contraction          :     52.017u      2.733s      8.195w     42 calls
HF: Form core H                     :      0.333u      0.017s      0.055w     42 calls
HF: Form S/X                        :      0.583u      0.000s      0.085w     42 calls
HF: Guess                           :      6.017u      0.017s      0.899w     42 calls
| SAD Guess                         :      5.733u      0.017s      0.862w      4 calls
HF: Form G                          :     99.667u      9.900s     16.405w    483 calls
| JK: D                             :      0.000u      0.000s      0.012w    483 calls
| JK: USO2AO                        :      0.050u      0.000s      0.007w    483 calls
| JK: JK                            :     99.467u      9.900s     16.343w    483 calls
| | DFH: compute_JK()               :     99.467u      9.900s     16.342w    483 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    483 calls
| | | DFH: compute_J                :     23.867u      0.033s      3.563w    483 calls
| | | DFH: compute_K                :     66.833u      8.000s     11.797w    483 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    483 calls
HF: Form F                          :      0.033u      0.000s      0.017w    483 calls
HF: Form D                          :      0.200u      0.000s      0.011w    483 calls
HF: DIIS                            :      3.617u      0.400s      0.594w    479 calls
| DIISManager::add_entry            :      1.217u      0.150s      0.115w    441 calls
| DIISManager::extrapolate          :      1.167u      0.200s      0.211w    441 calls
| | bMatrix setup                   :      0.517u      0.100s      0.093w    441 calls
| | bMatrix pseudoinverse           :      0.067u      0.000s      0.017w    441 calls
| | New vector                      :      0.550u      0.100s      0.099w    441 calls
HF: Form C                          :      6.217u      0.117s      0.952w    479 calls
Grad: V T Perturb                   :     26.117u      0.117s      3.935w     40 calls
Grad: S                             :      0.100u      0.000s      0.029w     40 calls
Grad: JK                            :    343.817u     10.917s     53.251w     40 calls
| JKGrad: Amn                       :     82.700u      4.733s     13.107w     40 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     40 calls
| JKGrad: AB                        :     43.450u      0.533s      6.601w     40 calls
| JKGrad: UV                        :      5.850u      0.783s      0.983w     40 calls
| JKGrad: ABx                       :      9.933u      0.033s      1.506w     40 calls
| JKGrad: Amnx                      :    192.900u      4.567s     29.623w     40 calls
Grad: XC                            :      0.000u      0.000s      0.000w     40 calls

**************************************************************************************
